Nama_Dataset,Nama_Video_Mentah,Latihan,Kategori_Sumber,Camera_View,Subject_ID,Repetition_ID,Temporal_Index,Label_Biner,Status_Label,Source_Frame_Index,Timestamp_Sec,Tensor_Path,Label_Path
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,1,1,SALAH,0,0.0,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,2,1,SALAH,1,0.0333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,3,1,SALAH,3,0.1,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,4,1,SALAH,4,0.1333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,5,1,SALAH,6,0.2,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,6,1,SALAH,7,0.2333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,7,1,SALAH,9,0.3,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,8,1,SALAH,10,0.3333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,9,1,SALAH,12,0.4,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,10,1,SALAH,13,0.4333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,11,1,SALAH,15,0.5,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,12,1,SALAH,16,0.5333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,13,1,SALAH,18,0.6,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,14,1,SALAH,19,0.6333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,15,1,SALAH,21,0.7,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,16,1,SALAH,22,0.7333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,17,1,SALAH,24,0.8,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,18,1,SALAH,25,0.8333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,19,1,SALAH,27,0.9,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,20,1,SALAH,28,0.9333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,21,1,SALAH,30,1.0,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,22,1,SALAH,31,1.0333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,23,1,SALAH,32,1.0667,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,Benchpress,Primer,Frontal,subjek01,rep1,24,1,SALAH,34,1.1333,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\tensors\BenchPress_001.npy,D:\Data-Aji\KULIAH\Tugas-Akhir\AttentiveSkel3D-WeightTraining-PoC\Release_V2_AttentiveSkel3D\data\v2_labels\BenchPress_001_labels.npy
